"uf";"br";"total_acidentes";"acidentes_fatais";"perc_fatais"
"SC";"101";"4222";"140";"3.32"
"SP";"116";"3249";"143";"4.4"
"MG";"381";"2845";"139";"4.89"
"RJ";"101";"2415";"125";"5.18"
"PR";"277";"2157";"134";"6.21"
"ES";"101";"2084";"112";"5.37"
"MG";"40";"1972";"123";"6.24"
"RJ";"116";"1798";"92";"5.12"
"PR";"376";"1700";"109";"6.41"
"MG";"116";"1412";"104";"7.37"
"SC";"282";"1379";"82";"5.95"
"RS";"116";"1317";"55";"4.18"
"PB";"230";"1191";"65";"5.46"
"PE";"101";"1130";"62";"5.49"
"PR";"116";"1113";"45";"4.04"
"RO";"364";"1112";"64";"5.76"
"MG";"262";"1095";"90";"8.22"
"RJ";"40";"1071";"32";"2.99"
"SC";"470";"1066";"82";"7.69"
"BA";"116";"1038";"110";"10.6"
"GO";"153";"973";"66";"6.78"
"MT";"163";"969";"60";"6.19"
"BA";"101";"956";"122";"12.76"
"BA";"324";"942";"56";"5.94"
"PR";"369";"915";"60";"6.56"
"SC";"280";"880";"36";"4.09"
"PE";"232";"830";"99";"11.93"
"GO";"60";"803";"50";"6.23"
"MS";"163";"781";"46";"5.89"
"RS";"290";"768";"31";"4.04"
"MT";"364";"750";"57";"7.6"
"PI";"343";"742";"47";"6.33"
"CE";"116";"707";"65";"9.19"
"RN";"101";"705";"23";"3.26"
"SP";"381";"651";"32";"4.92"
"RS";"386";"623";"48";"7.7"
"MG";"365";"600";"71";"11.83"
"MG";"50";"592";"28";"4.73"
"MT";"70";"589";"42";"7.13"
"PB";"101";"509";"27";"5.3"
"TO";"153";"482";"60";"12.45"
"SP";"153";"449";"21";"4.68"
"PI";"316";"448";"35";"7.81"
"PR";"476";"427";"43";"10.07"
"RS";"285";"408";"28";"6.86"
"PR";"153";"402";"39";"9.7"
"RN";"304";"398";"23";"5.78"
"MA";"135";"390";"44";"11.28"
"ES";"262";"382";"23";"6.02"
"PR";"163";"373";"30";"8.04"
"RJ";"493";"369";"21";"5.69"
"RS";"392";"364";"20";"5.49"
"CE";"222";"359";"47";"13.09"
"DF";"20";"348";"10";"2.87"
"SE";"101";"346";"29";"8.38"
"GO";"40";"335";"23";"6.87"
"SC";"116";"328";"19";"5.79"
"RS";"470";"322";"22";"6.83"
"RJ";"393";"320";"25";"7.81"
"DF";"70";"285";"8";"2.81"
"MS";"262";"285";"34";"11.93"
"PA";"230";"280";"47";"16.79"
"MG";"251";"271";"35";"12.92"
"PA";"316";"271";"42";"15.5"
"MG";"153";"269";"23";"8.55"
"PA";"163";"261";"33";"12.64"
"BA";"242";"256";"50";"19.53"
"SP";"101";"256";"6";"2.34"
"RS";"158";"255";"19";"7.45"
"AL";"101";"254";"29";"11.42"
"RJ";"465";"250";"4";"1.6"
"MA";"316";"244";"62";"25.41"
"SE";"235";"241";"15";"6.22"
"PR";"373";"231";"27";"11.69"
"MA";"10";"221";"40";"18.1"
"AC";"364";"220";"18";"8.18"
"BA";"110";"210";"41";"19.52"
"GO";"70";"210";"25";"11.9"
"MT";"174";"205";"22";"10.73"
"PE";"104";"203";"24";"11.82"
"PE";"428";"202";"12";"5.94"
"AL";"316";"177";"24";"13.56"
"RN";"226";"177";"16";"9.04"
"GO";"20";"170";"21";"12.35"
"PB";"104";"169";"17";"10.06"
"GO";"414";"161";"20";"12.42"
"GO";"50";"159";"10";"6.29"
"PA";"10";"158";"37";"23.42"
"MS";"60";"157";"11";"7.01"
"MA";"222";"152";"36";"23.68"
"MS";"267";"145";"14";"9.66"
"PE";"423";"144";"32";"22.22"
"RJ";"356";"142";"7";"4.93"
"PE";"408";"141";"23";"16.31"
"BA";"367";"137";"3";"2.19"
"GO";"364";"137";"12";"8.76"
"RS";"101";"137";"7";"5.11"
"RS";"153";"135";"6";"4.44"
"SC";"163";"135";"4";"2.96"
"MS";"158";"133";"15";"11.28"
"CE";"20";"132";"15";"11.36"
"AL";"104";"130";"15";"11.54"
"MG";"267";"130";"10";"7.69"
"RO";"319";"128";"4";"3.13"
"BA";"407";"127";"21";"16.54"
"RN";"406";"127";"7";"5.51"
"TO";"10";"127";"9";"7.09"
"MG";"459";"125";"14";"11.2"
"DF";"40";"124";"2";"1.61"
"ES";"259";"123";"7";"5.69"
"DF";"60";"121";"8";"6.61"
"RS";"287";"120";"9";"7.5"
"MA";"230";"119";"22";"18.49"
"MT";"158";"119";"23";"19.33"
"PE";"407";"119";"9";"7.56"
"RN";"110";"112";"8";"7.14"
"AP";"210";"111";"9";"8.11"
"PI";"135";"111";"25";"22.52"
"RS";"293";"110";"10";"9.09"
"GO";"452";"105";"7";"6.67"
"MA";"226";"104";"21";"20.19"
"RS";"472";"104";"8";"7.69"
"PR";"158";"99";"9";"9.09"
"MG";"354";"96";"2";"2.08"
"PE";"316";"96";"19";"19.79"
"PI";"230";"88";"14";"15.91"
"RS";"448";"86";"2";"2.33"
"RN";"405";"82";"21";"25.61"
"RR";"174";"81";"13";"16.05"
"RS";"471";"81";"5";"6.17"
"GO";"80";"78";"8";"10.26"
"BA";"235";"76";"14";"18.42"
"PE";"424";"76";"15";"19.74"
"AM";"174";"73";"8";"10.96"
"SC";"153";"71";"7";"9.86"
"RO";"435";"69";"8";"11.59"
"DF";"80";"68";"9";"13.24"
"BA";"415";"63";"2";"3.17"
"MS";"376";"62";"5";"8.06"
"MS";"463";"60";"8";"13.33"
"DF";"251";"59";"6";"10.17"
"BA";"135";"58";"13";"22.41"
"SC";"480";"58";"3";"5.17"
"AP";"156";"57";"0";"0"
"RO";"174";"56";"1";"1.79"
"MG";"146";"55";"3";"5.45"
"PA";"155";"55";"7";"12.73"
"PR";"469";"55";"0";"0"
"MG";"356";"53";"3";"5.66"
"PR";"272";"53";"8";"15.09"
"AC";"317";"52";"11";"21.15"
"BA";"349";"52";"12";"23.08"
"CE";"304";"51";"2";"3.92"
"BA";"330";"49";"6";"12.24"
"BA";"20";"48";"9";"18.75"
"PE";"116";"48";"5";"10.42"
"MG";"364";"45";"2";"4.44"
"RS";"468";"45";"5";"11.11"
"PR";"487";"43";"4";"9.3"
"GO";"158";"41";"5";"12.2"
"RN";"427";"40";"4";"10"
"AL";"423";"39";"8";"20.51"
"BA";"418";"37";"5";"13.51"
"ES";"393";"37";"1";"2.7"
"PA";"222";"37";"13";"35.14"
"PI";"407";"37";"14";"37.84"
